ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,route_step_m,route_source_crs_epsg,x_3857_generated,y_3857_generated,dist_along_m_generated
2230436,2500,2500,2500,2500,2500,482,480.98,468.98,548.98,1,45.430389,12.3552,6.35,170126,15171900,11,1375374.5726490535,5689533.831917693,1375372.532385981,5689532.819939955,2.2774486486209597,10.0,3477.6786293824302,0.5,3857,1375374.9452707486,5689517.581318338,2683.7719469705994
2231851,2500,2500,2500,2500,2500,479,480.39,468.75,548.75,1,45.430396,12.355221,5.33,170126,15172100,11,1375376.9103583605,5689534.942296585,1375372.466210537,5689535.81091035,4.528238040596667,10.0,3477.6786293824302,0.5,3857,1375374.7499321387,5689519.61283988,2685.8128381850256
2233241,2500,2500,2500,2500,2500,482,480.52,468.52,548.52,1,45.430397,12.35523,2.94,170126,15172200,11,1375377.9122337776,5689535.100922151,1375372.466210537,5689538.810633147,6.5894707540820265,10.0,3477.6786293824302,0.5,3857,1375374.5545935289,5689521.644361422,2687.853729399452
2234619,2500,1128,2500,2500,1128,485,480.77,468.3,548.3,1,45.430392,12.355247,5.17,170126,15172300,11,1375379.8046651208,5689534.307794345,1375376.8691815804,5689541.443828904,7.716220114135813,10.0,3477.6786293824302,0.5,3857,1375374.359254919,5689523.675882965,2689.894620613878
2236008,2500,2500,2500,688,688,482,480.9,468.08,548.08,1,45.430391,12.355279,5.59,170126,15172500,11,1375383.3668888262,5689534.149168791,1375381.8348903493,5689541.761911367,7.7653634080457135,10.0,3477.6786293824302,0.5,3857,1375374.1639163094,5689525.707404507,2691.9355118283042
2237469,2500,2500,2500,746,746,482,481.07,467.86,547.86,1,45.430394,12.355292,4.13,170126,15172600,11,1375384.8140422066,5689534.625045458,1375384.3317944235,5689541.647242864,7.038737055055839,10.0,3477.6786293824302,0.5,3857,1375373.9035278067,5689527.727127459,2693.976403042731
2238946,2500,2500,2500,2500,2500,474,480.16,467.65,547.65,1,45.430398,12.355322,4.8,170126,15172800,11,1375388.1536269302,5689535.259547721,1375388.8308752142,5689541.638153688,6.4144586151410055,10.0,3477.6786293824302,0.5,3857,1375373.3729502289,5689529.6978441775,2696.017294257157
2240373,2500,2500,2500,899,899,478,480.12,467.43,547.43,1,45.430394,12.355339,4.72,170126,15172900,11,1375390.046058274,5689534.625045458,1375390.8184590118,5689541.417311044,6.836042326178887,10.0,3477.6786293824302,0.5,3857,1375372.842372651,5689531.668560895,2698.0581854715833
2241829,2500,2500,2500,621,621,483,480.53,467.21,547.21,1,45.430396,12.355343,0.0,170126,15173100,11,1375390.491336237,5689534.942296585,1375391.3153549612,5689541.362100382,6.472471525881299,10.0,3477.6786293824302,0.5,3857,1375372.4662105367,5689533.659700692,2700.0990766860095
2243248,2500,2500,2500,487,487,477,479.61,466.99,546.99,1,45.430397,12.355345,0.0,170126,15173200,11,1375390.7139752186,5689535.100922151,1375391.8122509106,5689541.306889721,6.302399779734129,10.0,3477.6786293824302,0.5,3857,1375372.4662105367,5689535.700591906,2702.139967900436
