place_id,place_title,avg_sentiment,review_count,lat,lng,geometry,x_3857,y_3857
ChIJV32nPtexfkcRFXe2WTU6Iac,Museo Correr Cafe,0.8934571428571428,28,45.4338018,12.3370758,POINT (12.3370758 45.4338018),1373356.9959340182,5690075.205549034
ChIJV4_OAX6xfkcRkp2BIhFkkDQ,Cucina Restaurant,0.1133499999999999,8,45.4063619,12.3220742,POINT (12.3220742 45.4063619),1371687.0254609338,5685723.330956787
ChIJV7-c10GvfkcRsrV-VMUg8UY,Osteriva,0.6036,1,45.4565256,12.3560668,POINT (12.356066799999999 45.4565256),1375471.0643836732,5693680.724742717
ChIJV7tRG7ixfkcRHdMFN-DUo08,Trattoria Bar Giada,-0.0636625,8,45.4372447,12.318702,POINT (12.318702 45.4372447),1371311.6338740806,5690621.3871278195
ChIJV9NwgrGvfkcRGEQmxzIIggo,Intesa Sanpaolo S.p.A.,0.0079375,16,45.4168146,12.3682691,POINT (12.3682691 45.416814599999995),1376829.41820618,5687380.844176756
ChIJVQKjCtuxfkcR6lwgn2YW6Ew,Bar Rialto da Lollo,0.9252375,16,45.4391129,12.3344111,POINT (12.334411099999999 45.4391129),1373060.3628869015,5690917.772281469
ChIJVQZ6BdmxfkcR0BtQshanAgo,Ristorante ai Barbacani,0.9683833333333332,6,45.4375248,12.3399425,POINT (12.3399425 45.4375248),1373676.1155182752,5690665.823651369
ChIJVUCISaixfkcR5VJ0C54-F-U,Grand Canal Restaurant & Bar,0.5814125,8,45.4324368,12.3371174,POINT (12.337117399999999 45.4324368),1373361.6268248353,5689858.671203816
ChIJVYCMf2WxfkcRIlPyRPPTjoU,Cafe Da Gigi,0.4699833333333333,24,45.4358978,12.33883,POINT (12.33883 45.4358978),1373552.2725847678,5690407.710973839
ChIJVxUjvjhu1oYRw1I8g5MDV74,Tucson Medical Center,0.2271142857142857,14,32.2524759,-110.8800722,POINT (-110.8800722 32.2524759),-12343113.176425409,3796497.8314567935
