place_id,place_titl,avg_sentim,review_cou,lat,lng,x_3857,y_3857
ChIJaTrFFtqxfkcRMOOvoNuWdxk,Ostaria A La Campana,0.955212500000000,"8",45.436111099999998,12.335833299999999,1373218.681466707494110,5690441.549169586040080
ChIJaY6LaNKxfkcRCS3ILBTAWWs,La Bottega Del Gusto Snc,0.466733333333333,"6",45.435903300000000,12.325163800000000,1372030.958159688627347,5690408.583499548956752
ChIJaZQ3PdKxfkcR3_ghz6eSwCk,Ristorante Cantinone Storico,0.930725000000000,"8",45.430428900000003,12.329869900000000,1372554.838815310969949,5689540.161079217679799
ChIJabgg9sWxfkcRuMtUubUcDHk,Parrucchiere New Jolly Style - San Polo,0.655000000000000,"6",45.436264399999999,12.325611100000000,1372080.751367920311168,5690465.868964512832463
ChIJacRQuieufkcRX1B3z1zJAhY,Trattoria da Remigio,0.884642857142857,"7",45.435654800000002,12.345063800000000,1374246.216026474721730,5690369.161286441609263
ChIJaQ4b4yWufkcRBD__9QvA8c4,Trattoria Al Vecio Portal Laguna e Oltre,0.951700000000000,"5",45.434118499999997,12.347843900000001,1374555.695342829218134,5690125.445438323542476
ChIJb-uRbACvfkcRO4K-Wdti2eQ,Bacarandino Bistrot,0.916785714285714,"7",45.435086599999998,12.347533800000001,1374521.175168734509498,5690279.022294896654785
ChIJb4LguAyxfkcRhiTvzUXREog,CLEOR Compro Oro Venezia,0.297562500000000,"8",45.439397900000003,12.334361200000000,1373054.808044310892001,5690962.987665525637567
ChIJb5hxy8CxfkcRYIUXpzH0LTI,Trattoria Alle Lance,0.948425000000000,"8",45.441774400000000,12.322261200000000,1371707.842205712106079,5691340.029401022940874
ChIJb6_r1tCxfkcRxSO4Rg2v_Q8,BVLGARI Venice Store,0.299542857142857,"7",45.433357299999997,12.336531300000001,1373296.382471281103790,5690004.692507720552385
ChIJb7t-a8-xfkcRXPD2HxP6ztQ,La Casa Di Loto,0.732271428571429,"7",45.435390400000003,12.326045199999999,1372129.075158873805776,5690327.216876875609159
ChIJbU3sdpWxfkcRA5YX6LhhAZ8,Trattoria da Mimmo,0.905957142857143,"14",45.443815899999997,12.327565500000000,1372298.314180726883933,5691663.934657122939825
ChIJ__-_sdGxfkcR0tDfgMv0WTU,Campo San Maurizio,0.531712500000000,"8",45.432732199999997,12.331586000000000,1372745.874193460913375,5689905.531012931838632
ChIJZydQ242xfkcREpJswiRVc64,Roger Vivier,0.625075000000000,"4",45.432765600000003,12.334064800000000,1373021.812947239493951,5689910.829327703453600
ChIJ_1sIlcaxfkcRoCg9GfYmL6o,Conad,0.656175000000000,"4",45.439881300000003,12.324616799999999,1371970.066398224560544,5691039.679825115948915
ChIJ_QT-pA2xfkcRdVgAGpAIgwU,Tocco di Gio',0.239485714285714,"7",45.439062100000001,12.323397800000000,1371834.367938947863877,5690909.712861556559801
ChIJ_Qc7CUKvfkcRG_u6p4XTkxY,Trattoria Dai Fioi (Venezia Biennale),0.947425000000000,"12",45.431212299999999,12.356652100000000,1375536.219681634567678,5689664.429282234050333
ChIJ_SHMd9exfkcRp_etSad61x8,Credem Banca,0.004300000000000,"6",45.435716200000002,12.334493999999999,1373069.591272688005120,5690378.901809066534042
ChIJ_UuIyGuxfkcR6ACizrTk2-4,Crai,-0.114271428571428,"7",45.431075700000001,12.328778099999999,1372433.300195262767375,5689642.760742792859674
ChIJjZjunYSxfkcRaFJoBGFHDFY,Claudia Cavei,0.278242857142857,"7",45.441116200000003,12.325893300000001,1372112.165728222345933,5691235.601608343422413
ChIJ_____y-7fkcRjp7YvX0KzIg,Swarovski Store Venezia,0.444728571428571,"7",45.437159700000002,12.336598400000000,1373303.852009113412350,5690607.902328524738550
ChIJ__n6NtexfkcR07WqlXS5enA,San Marco square suite,0.361257142857143,"7",45.433680199999998,12.336390600000000,1373280.719818926416337,5690055.915536990389228
ChIJ_auU4sKxfkcRsgT7YcfTqE4,Osteria Al Cantinon,0.913437500000000,"8",45.442850800000002,12.331444299999999,1372730.100221615750343,5691510.810020934790373
ChIJa1J6rDKwfkcR2DMFoo4iV7o,Trattoria Pizzer¨ªa Do Mori,0.951987500000000,"8",45.426579900000000,12.325692300000000,1372089.790510572958738,5688929.631737732328475
ChIJa3syud6xfkcRAPCJ-xKG_VM,INVIDIA,0.065837500000000,"8",45.440232000000002,12.339835000000001,1373664.148673014948145,5691095.319335192441940
ChIJuSAtCNqxfkcRpTezs40jXWI,Parrucchiere - Hairstylist - Nails - Solarium Monika&Umberto.1962 Salon Venezia,0.692387500000000,"8",45.436832000000003,12.336865299999999,1373333.563181205885485,5690555.914651237428188
ChIJt_1GUCGufkcRc3bL5dAtWsI,Pizzer¨ªa Trattoria Alla Fonte,0.923220000000000,"5",45.434652000000000,12.347295600000001,1374494.658866027370095,5690210.078159623779356
ChIJtd7LYQCxfkcR4NzDrdjXkeo,Parco di Palazzo Savorgnan,0.793400000000000,"1",45.443548200000002,12.324322300000000,1371937.282808186486363,5691621.460593842901289
ChIJtxXtNNuxfkcR2n8eYxfkZzg,Alda & Ketty s.n.c.,0.394262500000000,"8",45.439463099999998,12.332311000000001,1372826.580824286444113,5690973.331708293408155
ChIJu1VzSjqvfkcRHybCrUjzrNY,Trattoria del Local,0.904680000000000,"5",45.435653899999998,12.345125700000001,1374253.106702954974025,5690369.018510130234063
ChIJu96Q0dqxfkcRl9cU_hilIs0,Play the game,0.272237500000000,"8",45.437452499999999,12.331753700000000,1372764.542472067289054,5690654.353581507690251
ChIJu9Vua9uxfkcRmWZCVM1S9ok,MODE HAIR ANDREA,0.090957142857143,"7",45.438772100000001,12.334283800000000,1373046.191915723495185,5690863.704500998370349
ChIJuQj3edmxfkcR2ecf0hiN8H8,Farini,0.592240000000000,"20",45.437525399999998,12.338250000000000,1373487.707280107541010,5690665.918838731944561
ChIJtXFloMixfkcRLNjYbbAKN7E,Antico Gafaro,0.948850000000000,"8",45.436538800000001,12.323204300000000,1371812.827617479255423,5690509.400451908819377
ChIJuSRmfDaxfkcRfjXyvsdQCL4,Ristorante Due Fratelli,0.558557142857143,"7",45.444141999999999,12.328731899999999,1372428.157234787940979,5691715.674907142296433
ChIJua6CaM-xfkcRvVH0un-7oyk,Trattoria Ca' Foscari al Canton,0.508550000000000,"6",45.435517900000001,12.326114300000000,1372136.767335687763989,5690347.443449238315225
ChIJuypz9F-xfkcRkm6SYPQiX_M,Supermercato DESPAR San Marco,0.674833333333333,"6",45.435529600000002,12.333443900000001,1372952.694675405975431,5690349.299536990933120
ChIJuzz2ow2xfkcRc0RZ-dtPHgY,Postamat,0.076737500000000,"8",45.433694000000003,12.336922599999999,1373339.941788028692827,5690058.104697450995445
ChIJv-mp6M-xfkcRzhId0H8OqQk,Al Ponte Del Lovo,0.266350000000000,"8",45.436557999999998,12.335864400000000,1373222.143502871273085,5690512.446394810453057
ChIJv7GupNexfkcR6wVcaJVlSH8,Caff¨¨ Gelateria Al Todaro Dal 1948,0.118650000000000,"12",45.433260900000001,12.339541300000000,1373631.454138569068164,5689989.400213891640306
ChIJv9VITc-xfkcRNkZy5oCc8uI,Al Nono Risorto,0.658833333333333,"6",45.439705099999998,12.331341699999999,1372718.678841860499233,5691011.725345788523555
ChIJvVNKzg_pgUcRKMGxs8Hd3F4,Football.Store,0.414925000000000,"8",45.436259399999997,12.323608699999999,1371857.845219556009397,5690465.075754242017865
ChIJvWmzvnGxfkcRBx0hSMuy-go,Banca Monte dei Paschi di Siena S.p.A.,0.112857142857143,"7",45.440666000000000,12.322780500000000,1371765.650417281081900,5691164.175095933489501
ChIJr6rjRNqxfkcR6MWYsM1pwTI,Coop,0.709316666666667,"6",45.436490700000000,12.334380800000000,1373056.989906330360100,5690501.769734918139875
ChIJr7SaeXKxfkcRrTU-ClKhtgg,Trattoria Alla Terrazza,0.589200000000000,"8",45.438828800000003,12.326313200000000,1372158.908782406477258,5690872.699910138733685
