place_id,place_titl,avg_sentim,review_cou,lat,lng,geometry,x_3857,y_3857,fid,place_id_2,place_ti_1,latitude,longitude,resident,tourist,total_revi,resident_r,tourist_ra
ChIJMasuBtexfkcRJCxPSAYJlVY,Giardini Reali,0.977800000000000,"1",45.432983900000004,12.338291500000000,POINT (12.338291499999999 45.432983899999996),1373492.327038975665346,5689945.458809558302164,215,ChIJMasuBtexfkcRJCxPSAYJlVY,Giardini Reali,45.432983900000004,12.338291500000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJN62j2zzle0cRJB6WCKWWcO4,Panificio Giovanni Volpe,0.956400000000000,"1",45.444580400000000,12.325498700000001,POINT (12.325498699999999 45.4445804),1372068.239057155558839,5691785.233567990362644,217,ChIJN62j2zzle0cRJB6WCKWWcO4,Panificio Giovanni Volpe,45.444580400000000,12.325498700000001,"1","7","8",0.125000000000000,0.875000000000000
ChIJN6Zo4i-ufkcRpqOGA5homd8,Hopera - Italian Food,-0.651100000000000,"8",45.432282399999998,12.354831500000000,POINT (12.3548315 45.4322824),1375333.551416696282104,5689834.178564358502626,218,ChIJN6Zo4i-ufkcRpqOGA5homd8,Hopera - Italian Food,45.432282399999998,12.354831500000000,"8","24","32",0.250000000000000,0.750000000000000
ChIJN7kFlOmxfkcRGo4FBCupIBo,Ospedale S. Raffaele Arcangelo Fatebenefratelli,0.493550000000000,"2",45.447401100000000,12.330854900000000,POINT (12.3308549 45.4474011),1372664.488513742340729,5692232.792378292419016,219,ChIJN7kFlOmxfkcRGo4FBCupIBo,Ospedale S. Raffaele Arcangelo Fatebenefratelli,45.447401100000000,12.330854900000000,"2","6","8",0.250000000000000,0.750000000000000
ChIJP08H-CeufkcR4kJVY2m7DFs,Trattoria da Nino Venezia,0.054400000000000,"2",45.434909800000000,12.342625399999999,POINT (12.3426254 45.4349098),1373974.774580124532804,5690250.975007831119001,228,ChIJP08H-CeufkcR4kJVY2m7DFs,Trattoria da Nino Venezia,45.434909800000000,12.342625399999999,"2","6","8",0.250000000000000,0.750000000000000
ChIJPWQtJtuxfkcRbiWXiNzcT7A,VizioVirt¨? Cioccolateria,0.954800000000000,"4",45.438184300000003,12.338510800000000,POINT (12.3385108 45.438184299999996),1373516.739403306506574,5690770.451039005070925,230,ChIJPWQtJtuxfkcRbiWXiNzcT7A,VizioVirt¨? Cioccolateria,45.438184300000003,12.338510800000000,"4","12","16",0.250000000000000,0.750000000000000
ChIJPy3OnHOvfkcR1GUibT72EIc,Oldest Mask store,0.888500000000000,"1",45.435483699999999,12.343031699999999,POINT (12.3430317 45.4354837),1374020.003689233912155,5690342.017964164726436,233,ChIJPy3OnHOvfkcR1GUibT72EIc,Oldest Mask store,45.435483699999999,12.343031699999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJQ92TITSxfkcRFR_uDJP2BNY,Gio's,0.991600000000000,"1",45.432064099999998,12.335474899999999,POINT (12.3354749 45.4320641),1373178.784561207285151,5689799.549512938596308,238,ChIJQ92TITSxfkcRFR_uDJP2BNY,Gio's,45.432064099999998,12.335474899999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJQVaZqtKxfkcRy8s8y5RdwYk,Ristorante Casa Cappellari,0.843900000000000,"2",45.438352100000003,12.333553800000001,POINT (12.333553799999999 45.438352099999996),1372964.928687444422394,5690797.072122171521187,240,ChIJQVaZqtKxfkcRy8s8y5RdwYk,Ristorante Casa Cappellari,45.438352100000003,12.333553800000001,"2","6","8",0.250000000000000,0.750000000000000
ChIJR1tJ7uKxfkcRU5NRHF745io,Ravioleria Venezia,0.599400000000000,"1",45.434149900000001,12.332009200000000,POINT (12.3320092 45.4341499),1372792.984601964941248,5690130.426611009053886,245,ChIJR1tJ7uKxfkcRU5NRHF745io,Ravioleria Venezia,45.434149900000001,12.332009200000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJRWywcNuxfkcRg3m0dxfT4FU,UniCredit,0.709600000000000,"1",45.437120800000002,12.336154199999999,POINT (12.3361542 45.437120799999995),1373254.403891303110868,5690601.731056564487517,249,ChIJRWywcNuxfkcRg3m0dxfT4FU,UniCredit,45.437120800000002,12.336154199999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJRY06z9mxfkcRiZTLdZbwt9s,Trattoria Do Forni,0.847800000000000,"1",45.435493500000000,12.339277400000000,POINT (12.3392774 45.4354935),1373602.076924948720261,5690343.572634991258383,250,ChIJRY06z9mxfkcRiZTLdZbwt9s,Trattoria Do Forni,45.435493500000000,12.339277400000000,"1","7","8",0.125000000000000,0.875000000000000
