Y,X,ID,GEOHASH,NUMPOINTS
5690862.81281247,1372732.59097348,"217",u20f2xg,23
5689773.5221989,1373802.70936947,"218",u20f2yd,10
5690427.08066181,1374261.33153918,"219",u20f2zm,19
5692388.042393,1372579.71691691,"220",u20f89d,7
5691080.68684157,1372273.96880377,"221",u20f880,84
5689991.36971864,1375331.44993518,"222",u20f3nu,2
5689120.01144248,1375178.57587861,"223",u20f3jg,2
5690427.08066181,1374567.07965232,"224",u20f2zr,9
5689773.5221989,1371968.22069063,"225",u20f2qw,37
5690209.22253948,1371968.22069063,"226",u20f2rn,20
5689991.36971864,1372426.84286034,"227",u20f2wc,18
5689773.5221989,1372121.0947472,"228",u20f2qx,31
5689773.5221989,1371815.34663406,"229",u20f2qt,8
5691516.45080921,1373496.96125633,"230",u20f8b8,19
5692170.13654003,1372579.71691691,"231",u20f896,9
5691298.56617368,1372885.46503005,"232",u20f88k,50
5688466.54838222,1372273.96880377,"233",u20f2t0,3
5689337.84306121,1375637.19804832,"234",u20f3nn,26
5690644.94408602,1372732.59097348,"235",u20f2xe,28
5689337.84306121,1373038.33908662,"236",u20f2wj,4
5689991.36971864,1375637.19804832,"237",u20f3ny,14
5689337.84306121,1373955.58342604,"238",u20f2y5,25
5688466.54838222,1373649.8353129,"239",u20f2v1,2
5690644.94408602,1374567.07965232,"240",u20f2zx,8
5690862.81281247,1372273.96880377,"241",u20f2xb,29
5691298.56617368,1372273.96880377,"242",u20f882,10
5691080.68684157,1372121.0947472,"243",u20f82p,180
5690427.08066181,1373955.58342604,"244",u20f2z7,34
5690644.94408602,1373955.58342604,"245",u20f2ze,53
5689555.67997988,1373344.08719976,"246",u20f2wr,54
5690427.08066181,1371815.34663406,"247",u20f2rm,39
5689555.67997988,1373955.58342604,"248",u20f2y7,14
5689337.84306121,1372732.59097348,"249",u20f2w5,17
5690862.81281247,1373649.8353129,"250",u20f2zc,10
5690427.08066181,1371662.47257749,"251",u20f2rk,13
5689337.84306121,1374108.45748261,"252",u20f2yh,58
5688902.18512334,1371815.34663406,"253",u20f2mt,1
5690644.94408602,1374108.45748261,"254",u20f2zs,20
5691080.68684157,1371203.85040778,"255",u20f821,4
5688902.18512334,1372426.84286034,"256",u20f2t9,3
5689991.36971864,1374261.33153918,"257",u20f2yv,22
5690209.22253948,1374108.45748261,"258",u20f2zh,33
5688684.36410338,1373496.96125633,"259",u20f2v2,6
5691298.56617368,1373496.96125633,"260",u20f8b2,5
5692170.13654003,1372426.84286034,"261",u20f893,3
5690644.94408602,1371203.85040778,"262",u20f2r9,4
5691516.45080921,1372885.46503005,"263",u20f88s,14
5689120.01144248,1371509.59852092,"264",u20f2mg,24
5689991.36971864,1371662.47257749,"265",u20f2qu,10
5690209.22253948,1370592.3541815,"266",u20f2pj,2
5689773.5221989,1370439.48012493,"267",u20f2ns,2
5690209.22253948,1372579.71691691,"268",u20f2x4,25
5691516.45080921,1373649.8353129,"269",u20f8b9,14
5689555.67997988,1371509.59852092,"270",u20f2q7,5
5688902.18512334,1372121.0947472,"271",u20f2mx,6
5690862.81281247,1371050.97635121,"272",u20f2rb,4
5688902.18512334,1371662.47257749,"273",u20f2ms,2
